GT_filt_binomial_CI_upper_mean,GT_filtered_rate_mean,GT_filtered_rate_std,MRR_mean,MRR_std,MeanR_global_mean,MeanR_global_std,MeanR_survived_mean,MeanR_survived_std,R@10_mean,R@10_std,R@1_mean,R@1_std,R@5_mean,R@5_std,avg_cost_mean,avg_cost_std,avg_ms_query_mean,avg_ms_query_std,method,oracle_gap_pct_mean
,0.0,0.0,0.4242913263766454,0.014622168905629552,37.095555555555556,2.8121658100492373,37.095555555555556,2.8121658100492373,0.6522222222222221,0.013966450099973922,0.31666666666666665,0.012472191289246483,0.528888888888889,0.009558139185602912,1.0,0.0,27.56548817952474,10.738560885283547,B0_semantic,
,0.16444444444444445,0.02753224820747526,0.5991978534962342,0.030139292151420492,177.65444444444447,26.158568645479193,15.373010042383688,2.4425572756391682,0.6788888888888889,0.014989708403591139,0.4033333333333333,0.018856180831641284,0.6144444444444445,0.008314794192830946,1.15666663646698,0.016555166907026728,21.7905330657959,1.934622999137432,B1_rule_parser,
,0.16444444444444445,0.02753224820747526,0.5991978534962342,0.030139292151420492,177.65444444444447,26.158568645479193,15.373010042383688,2.4425572756391682,0.6788888888888889,0.014989708403591139,0.4033333333333333,0.018856180831641284,0.6144444444444445,0.008314794192830946,1.15666663646698,0.016555166907026728,21.237606048583984,1.0863341197391383,B5_always_hard,
,0.09555555555555556,0.02216659704806668,0.5575502410003214,0.027209257749383247,110.92444444444443,20.93156297066853,16.75315119948625,2.531085768382574,0.7155555555555555,0.013698697784375494,0.3933333333333333,0.021602468994692862,0.6333333333333333,0.012472191289246443,1.0,0.0,20.934616088867188,1.0781032714731063,B6_uncalibrated,
0.00993608194445772,0.0,0.0,0.5687169249188262,0.019285087143975053,22.75222222222222,1.7473669786351946,22.75222222222222,1.7473669786351946,0.7733333333333334,0.01360827634879543,0.4677777777777778,0.023778816176702983,0.6833333333333335,0.012472191289246433,1.7999999523162842,1.1008716699947,21.98737080891927,2.9984018892094046,B7_calibrated_v1,0.6021443345387009
,0.0,0.0,0.5708797795023807,0.012199450288089882,17.236666666666668,0.8230971321107194,17.236666666666668,0.8230971321107194,0.7911111111111112,0.0015713484026367562,0.45444444444444443,0.020061633428075303,0.7044444444444444,0.005665577237325309,1.0744444529215496,0.016629615006521683,21.14208221435547,1.5389107220595373,B8_cascade,
0.00993608194445772,0.0,0.0,0.5583464961524806,0.027382959558074738,25.963333333333335,3.708804339626132,25.963333333333335,3.708804339626132,0.7577777777777778,0.022825153982415736,0.4588888888888889,0.030590888662080443,0.6699999999999999,0.021602468994692835,1.0144444306691487,0.020427509753068063,20.94244321187337,1.7044200396540508,B9_soft_fallback,0.5658496433144321
0.00993608194445772,0.0,0.0,0.5700893278494377,0.026363236255698825,18.656666666666666,1.6437445958226902,18.656666666666666,1.6437445958226902,0.8055555555555557,0.017497795275581776,0.46222222222222226,0.031544599036840835,0.6944444444444443,0.019309052441091955,1.9311110973358154,0.16152815378032365,20.969112396240234,1.7779219307171774,B10_budgeted_cascade,0.578725656190445
,0.0,0.0,0.6599455737175942,0.020318101338671037,13.385555555555555,2.1585906467523928,13.385555555555555,2.1585906467523928,0.8366666666666666,0.019626135258506316,0.5677777777777777,0.022166597048066686,0.7711111111111112,0.025141574442188362,1.2199999888737996,0.0320878654570804,21.61266581217448,2.3423884394516064,B4_oracle,
,0.0,0.0,0.5575275854282309,0.019918813694651146,16.064444444444444,1.1731386623019686,16.064444444444444,1.1731386623019686,0.81,0.009813067629253163,0.43333333333333335,0.027621784210346775,0.6988888888888889,0.01812167381144455,1.6355555454889934,0.07553923831936787,25.555492401123047,6.900376848279274,ABL_no_safety,
,0.0,0.0,0.5700893278494377,0.026363236255698825,18.656666666666666,1.6437445958226902,18.656666666666666,1.6437445958226902,0.8055555555555557,0.017497795275581776,0.46222222222222226,0.031544599036840835,0.6944444444444443,0.019309052441091955,1.9311110973358154,0.16152815378032365,20.78649075826009,1.7141243770789503,ABL_no_qpp,
,0.0,0.0,0.5094203695791905,0.02676445816174941,19.39,1.75005396742183,19.39,1.75005396742183,0.7966666666666667,0.012472191289246483,0.3822222222222222,0.03247030932489437,0.658888888888889,0.015475986974649051,2.3433333237965903,0.12012337141331214,20.585625330607098,1.4919834097200164,ABL_no_keyword,
,0.04222222222222222,0.007856742013183864,0.496079755528717,0.014148840490017939,68.78222222222222,9.103644094672699,27.651493737511572,3.0538789238782544,0.6933333333333334,0.016996731711975962,0.3644444444444444,0.01498970840359116,0.5944444444444444,0.013966450099973922,1.6399999856948853,0.06738504678869672,20.230538686116535,0.8266981912979617,ABL_random_route,
